Team,Player,Reference
CLE,Cedi Osman,https://www.basketball-reference.com/players/o/osmande01.html
CLE,Darius Garland,https://www.basketball-reference.com/players/g/garlada01.html
CLE,Isaac Okoro,https://www.basketball-reference.com/players/o/okorois01.html
CLE,Dean Wade,https://www.basketball-reference.com/players/w/wadede01.html
CLE,Lamar Stevens,https://www.basketball-reference.com/players/s/stevela01.html
CLE,Lauri Markkanen,https://www.basketball-reference.com/players/m/markkla01.html
CLE,Dylan Windler,https://www.basketball-reference.com/players/w/windldy01.html
CLE,Brandon Goodwin,https://www.basketball-reference.com/players/g/goodwbr01.html
CLE,Ed Davis,https://www.basketball-reference.com/players/d/davised01.html
CLE,Rajon Rondo,https://www.basketball-reference.com/players/r/rondora01.html
CLE,Collin Sexton,https://www.basketball-reference.com/players/s/sextoco01.html
CLE,RJ Nembhard Jr.,https://www.basketball-reference.com/players/n/nembhrj01.html
CLE,Caris LeVert,https://www.basketball-reference.com/players/l/leverca01.html
CLE,Tim Frazier,https://www.basketball-reference.com/players/f/fraziti01.html
DAL,Dwight Powell,https://www.basketball-reference.com/players/p/poweldw01.html
DAL,Jalen Brunson,https://www.basketball-reference.com/players/b/brunsja01.html
DAL,Dorian Finney-Smith,https://www.basketball-reference.com/players/f/finnedo01.html
DAL,Reggie Bullock,https://www.basketball-reference.com/players/b/bullore01.html
DAL,Luka Dončić,https://www.basketball-reference.com/players/d/doncilu01.html
DAL,Josh Green,https://www.basketball-reference.com/players/g/greenjo02.html
DAL,Frank Ntilikina,https://www.basketball-reference.com/players/n/ntilila01.html
DAL,Maxi Kleber,https://www.basketball-reference.com/players/k/klebima01.html
DAL,Tim Hardaway Jr.,https://www.basketball-reference.com/players/h/hardati02.html
DAL,Sterling Brown,https://www.basketball-reference.com/players/b/brownst02.html
DAL,Trey Burke,https://www.basketball-reference.com/players/b/burketr01.html
DAL,Marquese Chriss,https://www.basketball-reference.com/players/c/chrisma01.html
DAL,Boban Marjanović,https://www.basketball-reference.com/players/m/marjabo01.html
DAL,Theo Pinson,https://www.basketball-reference.com/players/p/pinsoth01.html
DAL,Spencer Dinwiddie,https://www.basketball-reference.com/players/d/dinwisp01.html
DAL,Dāvis Bertāns,https://www.basketball-reference.com/players/b/bertada01.html
DAL,Moses Wright,https://www.basketball-reference.com/players/w/wrighmo01.html
DEN,Jeff Green,https://www.basketball-reference.com/players/g/greenje02.html
DEN,Aaron Gordon,https://www.basketball-reference.com/players/g/gordoaa01.html
DEN,Monte Morris,https://www.basketball-reference.com/players/m/morrimo01.html
DEN,Facundo Campazzo,https://www.basketball-reference.com/players/c/campafa01.html
DEN,Nikola Jokić,https://www.basketball-reference.com/players/j/jokicni01.html
DEN,Will Barton,https://www.basketball-reference.com/players/b/bartowi01.html
DEN,Bones Hyland,https://www.basketball-reference.com/players/h/hylanbo01.html
DEN,JaMychal Green,https://www.basketball-reference.com/players/g/greenja01.html
DEN,Austin Rivers,https://www.basketball-reference.com/players/r/riverau01.html
DEN,Zeke Nnaji,https://www.basketball-reference.com/players/n/nnajize01.html
DEN,Davon Reed,https://www.basketball-reference.com/players/r/reedda01.html
DEN,Markus Howard,https://www.basketball-reference.com/players/h/howarma02.html
DEN,Bryn Forbes,https://www.basketball-reference.com/players/f/forbebr01.html
DEN,Vlatko Čančar,https://www.basketball-reference.com/players/c/cancavl01.html
DEN,DeMarcus Cousins,https://www.basketball-reference.com/players/c/couside01.html
DEN,Michael Porter Jr.,https://www.basketball-reference.com/players/p/portemi01.html
DEN,Jamal Murray,https://www.basketball-reference.com/players/m/murraja01.html
DET,Saddiq Bey,https://www.basketball-reference.com/players/b/beysa01.html
DET,Hamidou Diallo,https://www.basketball-reference.com/players/d/diallha01.html
DET,Isaiah Stewart,https://www.basketball-reference.com/players/s/stewais01.html
DET,Cory Joseph,https://www.basketball-reference.com/players/j/josepco01.html
DET,Killian Hayes,https://www.basketball-reference.com/players/h/hayeski01.html
DET,Cade Cunningham,https://www.basketball-reference.com/players/c/cunnica01.html
DET,Frank Jackson,https://www.basketball-reference.com/players/j/jacksfr01.html
DET,Jerami Grant,https://www.basketball-reference.com/players/g/grantje01.html
DET,Josh Jackson,https://www.basketball-reference.com/players/j/jacksjo02.html
DET,Rodney McGruder,https://www.basketball-reference.com/players/m/mcgruro01.html
DET,Luka Garza,https://www.basketball-reference.com/players/g/garzalu01.html
DET,Saben Lee,https://www.basketball-reference.com/players/l/leesa01.html
DET,Kelly Olynyk,https://www.basketball-reference.com/players/o/olynyke01.html
DET,Jamorko Pickett,https://www.basketball-reference.com/players/p/pickeja01.html
DET,Marvin Bagley III,https://www.basketball-reference.com/players/b/baglema01.html
DET,Isaiah Livers,https://www.basketball-reference.com/players/l/liveris01.html
DET,Chris Smith,https://www.basketball-reference.com/players/s/smithch07.html
GSW,Kevon Looney,https://www.basketball-reference.com/players/l/looneke01.html
GSW,Gary Payton II,https://www.basketball-reference.com/players/p/paytoga02.html
GSW,Juan Toscano-Anderson,https://www.basketball-reference.com/players/t/toscaju01.html
GSW,Stephen Curry,https://www.basketball-reference.com/players/c/curryst01.html
GSW,Andrew Wiggins,https://www.basketball-reference.com/players/w/wiggian01.html
GSW,Jordan Poole,https://www.basketball-reference.com/players/p/poolejo01.html
GSW,Nemanja Bjelica,https://www.basketball-reference.com/players/b/bjeline01.html
GSW,Otto Porter Jr.,https://www.basketball-reference.com/players/p/porteot01.html
GSW,Jonathan Kuminga,https://www.basketball-reference.com/players/k/kuminjo01.html
GSW,Damion Lee,https://www.basketball-reference.com/players/l/leeda03.html
GSW,Moses Moody,https://www.basketball-reference.com/players/m/moodymo01.html
GSW,Draymond Green,https://www.basketball-reference.com/players/g/greendr01.html
GSW,Andre Iguodala,https://www.basketball-reference.com/players/i/iguodan01.html
GSW,Chris Chiozza,https://www.basketball-reference.com/players/c/chiozch01.html
GSW,Klay Thompson,https://www.basketball-reference.com/players/t/thompkl01.html
GSW,Quinndary Weatherspoon,https://www.basketball-reference.com/players/w/weathqu01.html
GSW,James Wiseman,https://www.basketball-reference.com/players/w/wisemja01.html
HOU,Jae'Sean Tate,https://www.basketball-reference.com/players/t/tateja01.html
HOU,Kenyon Martin Jr.,https://www.basketball-reference.com/players/m/martike04.html
HOU,Christian Wood,https://www.basketball-reference.com/players/w/woodch01.html
HOU,Alperen Şengün,https://www.basketball-reference.com/players/s/sengual01.html
HOU,Josh Christopher,https://www.basketball-reference.com/players/c/chrisjo01.html
HOU,Eric Gordon,https://www.basketball-reference.com/players/g/gordoer01.html
HOU,Jalen Green,https://www.basketball-reference.com/players/g/greenja05.html
HOU,Garrison Mathews,https://www.basketball-reference.com/players/m/mathega01.html
HOU,Kevin Porter Jr.,https://www.basketball-reference.com/players/p/porteke02.html
HOU,David Nwaba,https://www.basketball-reference.com/players/n/nwabada01.html
HOU,Usman Garuba,https://www.basketball-reference.com/players/g/garubus01.html
HOU,Trevelin Queen,https://www.basketball-reference.com/players/q/queentr01.html
HOU,Daishen Nix,https://www.basketball-reference.com/players/n/nixda01.html
HOU,Dennis Schröder,https://www.basketball-reference.com/players/s/schrode01.html
HOU,Bruno Fernando,https://www.basketball-reference.com/players/f/fernabr01.html
HOU,John Wall,https://www.basketball-reference.com/players/w/walljo01.html
IND,Chris Duarte,https://www.basketball-reference.com/players/d/duartch01.html
IND,Oshae Brissett,https://www.basketball-reference.com/players/b/brissos01.html
IND,Myles Turner,https://www.basketball-reference.com/players/t/turnemy01.html
IND,Goga Bitadze,https://www.basketball-reference.com/players/b/bitadgo01.html
IND,Duane Washington Jr.,https://www.basketball-reference.com/players/w/washidu02.html
IND,Malcolm Brogdon,https://www.basketball-reference.com/players/b/brogdma01.html
IND,Lance Stephenson,https://www.basketball-reference.com/players/s/stephla01.html
IND,Isaiah Jackson,https://www.basketball-reference.com/players/j/jacksis01.html
IND,T.J. McConnell,https://www.basketball-reference.com/players/m/mccontj01.html
IND,Keifer Sykes,https://www.basketball-reference.com/players/s/sykeske01.html
IND,Terry Taylor,https://www.basketball-reference.com/players/t/taylote01.html
IND,Buddy Hield,https://www.basketball-reference.com/players/h/hieldbu01.html
IND,Tyrese Haliburton,https://www.basketball-reference.com/players/h/halibty01.html
IND,Jalen Smith,https://www.basketball-reference.com/players/s/smithja04.html
IND,T.J. Warren,https://www.basketball-reference.com/players/w/warretj01.html
IND,Ricky Rubio,https://www.basketball-reference.com/players/r/rubiori01.html
LAC,Terance Mann,https://www.basketball-reference.com/players/m/mannte01.html
LAC,Reggie Jackson,https://www.basketball-reference.com/players/j/jacksre01.html
LAC,Ivica Zubac,https://www.basketball-reference.com/players/z/zubaciv01.html
LAC,Luke Kennard,https://www.basketball-reference.com/players/k/kennalu01.html
LAC,Amir Coffey,https://www.basketball-reference.com/players/c/coffeam01.html
LAC,Isaiah Hartenstein,https://www.basketball-reference.com/players/h/harteis01.html
LAC,Nicolas Batum,https://www.basketball-reference.com/players/b/batumni01.html
LAC,Brandon Boston Jr.,https://www.basketball-reference.com/players/b/bostobr01.html
LAC,Marcus Morris,https://www.basketball-reference.com/players/m/morrima03.html
LAC,Paul George,https://www.basketball-reference.com/players/g/georgpa01.html
LAC,Jay Scrubb,https://www.basketball-reference.com/players/s/scrubja01.html
LAC,Robert Covington,https://www.basketball-reference.com/players/c/covinro01.html
LAC,Semi Ojeleye,https://www.basketball-reference.com/players/o/ojelese01.html
LAC,Rodney Hood,https://www.basketball-reference.com/players/h/hoodro01.html
LAC,Norman Powell,https://www.basketball-reference.com/players/p/powelno01.html
LAC,Kawhi Leonard,https://www.basketball-reference.com/players/l/leonaka01.html
LAC,Jason Preston,https://www.basketball-reference.com/players/p/prestja01.html
LAL,Russell Westbrook,https://www.basketball-reference.com/players/w/westbru01.html
LAL,Malik Monk,https://www.basketball-reference.com/players/m/monkma01.html
LAL,Carmelo Anthony,https://www.basketball-reference.com/players/a/anthoca01.html
LAL,Avery Bradley,https://www.basketball-reference.com/players/b/bradlav01.html
LAL,Dwight Howard,https://www.basketball-reference.com/players/h/howardw01.html
LAL,LeBron James,https://www.basketball-reference.com/players/j/jamesle01.html
LAL,Talen Horton-Tucker,https://www.basketball-reference.com/players/h/hortota01.html
LAL,Austin Reaves,https://www.basketball-reference.com/players/r/reaveau01.html
LAL,Anthony Davis,https://www.basketball-reference.com/players/d/davisan02.html
